configuration_id,experiment,blocks,classifier,C,k,risk_weighted_f1__mean,risk_weighted_f1__std,risk_macro_f1__mean,risk_macro_f1__std,accuracy__mean,accuracy__std
anchors_zero_shot__logistic_regression__C1__kall,anchors_zero_shot,zero_shot__macro__sentence;zero_shot__individual__sentence,logistic_regression,1.0,all,0.5597223006030326,0.031581416534503935,0.4790856011759685,0.026561296570963497,0.5486547854495236,0.03484943994185827
anchors_zero_shot__linear_svm__C0.25__kall,anchors_zero_shot,zero_shot__macro__sentence;zero_shot__individual__sentence,linear_svm,0.25,all,0.5590831125434853,0.03384507474188562,0.47063261421928465,0.03047850416716852,0.5610408593037259,0.03654586830541844
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,0.5508397523785978,0.029000377408786488,0.47475699649588665,0.03163854151853431,0.5510663128603269,0.028296770511159922
single__meta_prompting__individual__sentence__linear_svm__C0.25__kall,single__meta_prompting__individual__sentence,meta_prompting__individual__sentence,linear_svm,0.25,all,0.550113857956504,0.04407658942250653,0.439705530288066,0.023031322350067135,0.5531039705955146,0.04301944967349444
single__meta_prompting__individual__sentence__linear_svm__C1__kall,single__meta_prompting__individual__sentence,meta_prompting__individual__sentence,linear_svm,1.0,all,0.5479624683923249,0.04421388791764814,0.4370272878555557,0.026577300630347238,0.5507571603478609,0.04364807797301842
single__zero_shot__macro__sentence__logistic_regression__C0.25__kall,single__zero_shot__macro__sentence,zero_shot__macro__sentence,logistic_regression,0.25,all,0.5473459646210477,0.0483843746993674,0.47338803567320914,0.03051820299261632,0.5373027027411047,0.049764907265767114
single__zero_shot__macro__sentence__logistic_regression__C1__kall,single__zero_shot__macro__sentence,zero_shot__macro__sentence,logistic_regression,1.0,all,0.5447889020932926,0.05351505495899851,0.47081469543713694,0.03664789752580273,0.5348433288587086,0.055407225484102963
post_mpnet__linear_svm__C1__kall,post_mpnet,post_embedding,linear_svm,1.0,all,0.5436131036596588,0.03159305217164067,0.46670688828474705,0.034781422987367305,0.5430171155146153,0.030899505093231406
single__zero_shot__individual__sentence__logistic_regression__C0.25__kall,single__zero_shot__individual__sentence,zero_shot__individual__sentence,logistic_regression,0.25,all,0.5425051230737157,0.040754430100865775,0.45541724076744833,0.03212225873783566,0.5260620223479974,0.04167291386399823
single__meta_prompting__individual__sentence__logistic_regression__C1__kall,single__meta_prompting__individual__sentence,meta_prompting__individual__sentence,logistic_regression,1.0,all,0.5419751072677105,0.045977620163065315,0.44660270651651035,0.031381282542679856,0.5245612146993707,0.04788534384465414
single__meta_prompting__individual__sentence__logistic_regression__C0.25__kall,single__meta_prompting__individual__sentence,meta_prompting__individual__sentence,logistic_regression,0.25,all,0.5414037613043953,0.04854775209269613,0.445014426370685,0.03487082658474752,0.5245933560650455,0.05037428336983857
single__zero_shot__macro__sentence__linear_svm__C1__kall,single__zero_shot__macro__sentence,zero_shot__macro__sentence,linear_svm,1.0,all,0.5363011286630005,0.0453094346169986,0.4539302075922235,0.0316095443645686,0.5447268933492178,0.04790358017048508
single__zero_shot__individual__sentence__logistic_regression__C1__kall,single__zero_shot__individual__sentence,zero_shot__individual__sentence,logistic_regression,1.0,all,0.5360615357710696,0.037397674105410283,0.4497812068035031,0.02917269947917382,0.5194256295422559,0.038025422661462624
single__zero_shot__macro__sentence__linear_svm__C0.25__kall,single__zero_shot__macro__sentence,zero_shot__macro__sentence,linear_svm,0.25,all,0.534096773010107,0.043521823513782566,0.45188034743284067,0.027481505434369773,0.5436642233517102,0.04541318611081495
single__zero_shot__individual__sentence__linear_svm__C1__kall,single__zero_shot__individual__sentence,zero_shot__individual__sentence,linear_svm,1.0,all,0.5299117813908057,0.04627738805637669,0.4312180026070476,0.026467857414086825,0.5305818081682255,0.044561747558392616
single__zero_shot__individual__sentence__linear_svm__C0.25__kall,single__zero_shot__individual__sentence,zero_shot__individual__sentence,linear_svm,0.25,all,0.52954895097423,0.046146012106342886,0.4326692886446652,0.030204503164918267,0.531379392527326,0.04434681048318692
