configuration_id,experiment,blocks,classifier,C,k,repeat,fold,risk_weighted_f1,risk_macro_f1,accuracy
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,2,4,0.5567604148679586,0.49354888997751833,0.5559105431309904
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,0,0,0.6459184161234424,0.5685657381864935,0.6446540880503144
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,0,1,0.5804430775978237,0.48278860876564245,0.573170731707317
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,0,2,0.6147424761998397,0.5005796907780986,0.6104294478527608
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,0,3,0.5909316148742805,0.553189653246347,0.5927152317880795
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,0,4,0.6191765011451832,0.5613156560178049,0.6129032258064516
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,1,0,0.5671589612431599,0.46295174894044255,0.5664739884393064
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,1,1,0.6306537694507208,0.5348479211371453,0.6292517006802721
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,1,2,0.6343644179713599,0.604482705444244,0.6371951219512195
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,1,3,0.6152270752823237,0.5226642736378757,0.6084507042253521
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,1,4,0.588637150995109,0.4905328101389809,0.5993589743589743
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,2,0,0.6040257440316698,0.5001750316659904,0.5892351274787535
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,2,1,0.6052797147596806,0.5158771254321126,0.6049382716049383
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,2,2,0.6098565751122085,0.45918109588869155,0.5927051671732523
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,2,3,0.6039609015800441,0.5621900485177721,0.6075949367088608
post_mpnet__linear_svm__C0.25__k128,post_mpnet,post_embedding,linear_svm,0.25,128,2,4,0.6096819290006121,0.540436675555763,0.6070287539936102
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,0,0,0.5260899873457102,0.42501796457219254,0.5157232704402516
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,0,1,0.5409673720927725,0.46241130085753596,0.5439024390243903
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,0,2,0.6039300788663262,0.5326306849735845,0.6012269938650306
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,0,3,0.5253638163545531,0.4757304283834966,0.5298013245033113
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,0,4,0.5581687316475508,0.4942967567211759,0.5591397849462365
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,1,0,0.5717614343435251,0.4963795113526898,0.5722543352601156
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,1,1,0.4949421052467465,0.40099388516424045,0.4965986394557823
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,1,2,0.544912218316645,0.47726889125187777,0.5457317073170732
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,1,3,0.5418150907976004,0.45931927243661086,0.5352112676056338
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,1,4,0.5666105870232817,0.48507421186164745,0.5801282051282052
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,2,0,0.5400189133297972,0.474843367382064,0.5410764872521246
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,2,1,0.5641020407486597,0.46854902061090564,0.5709876543209876
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,2,2,0.60174193536385,0.4798990569114408,0.5866261398176292
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,2,3,0.5246371940503326,0.4778324201878718,0.5284810126582279
post_mpnet__linear_svm__C0.25__kall,post_mpnet,post_embedding,linear_svm,0.25,all,2,4,0.5575347801516165,0.5111081747709655,0.5591054313099042
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,0,0,0.6132131301359817,0.5329871046174244,0.6069182389937107
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,0,1,0.558505205638024,0.4497015531111266,0.5560975609756098
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,0,2,0.6210615032404484,0.5270593085719135,0.6196319018404908
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,0,3,0.6100373739226942,0.5771417964784673,0.609271523178808
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,0,4,0.6020184094810698,0.5424167116291349,0.5985663082437276
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,1,0,0.5762225411989048,0.4709116670728763,0.5722543352601156
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,1,1,0.6238393138742604,0.5093888073873248,0.6190476190476191
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,1,2,0.6094210935828012,0.564294842733204,0.6128048780487805
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,1,3,0.6156779469603784,0.5389878213891371,0.6084507042253521
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,1,4,0.5904511393301033,0.5356938112256474,0.5961538461538461
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,2,0,0.5844309217161172,0.4975082431029568,0.5750708215297451
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,2,1,0.5632155826466138,0.46841336870390515,0.5679012345679012
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,2,2,0.6356382823013068,0.5047847606437478,0.6291793313069909
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,2,3,0.587456545748634,0.5477117082230779,0.5886075949367089
post_mpnet__linear_svm__C1__k64,post_mpnet,post_embedding,linear_svm,1.0,64,2,4,0.5540369697718966,0.4905129317847023,0.5527156549520766
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,0,0,0.6406428468990318,0.5646605459159791,0.6383647798742138
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,0,1,0.5778846178929304,0.4659566130580404,0.5707317073170731
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,0,2,0.6147424761998397,0.5005796907780986,0.6104294478527608
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,0,3,0.5802013812420921,0.5429398434950514,0.5794701986754967
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,0,4,0.616389493852455,0.5518033319767792,0.6093189964157706
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,1,0,0.568858482790479,0.4651838343801937,0.569364161849711
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,1,1,0.6306901007156109,0.5350912144785908,0.6292517006802721
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,1,2,0.6262341445307965,0.5952345642678333,0.6280487804878049
post_mpnet__linear_svm__C1__k128,post_mpnet,post_embedding,linear_svm,1.0,128,1,3,0.6093725992317542,0.5122518286311389,0.6028169014084507
